REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_10_degree_60_beta_0.3.pcm	 0.379	 1.065	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_10_degree_-75_beta_0.2.pcm	 0.484	 1.075	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_10_degree_75_beta_0.2.pcm	 0.353	 1.062	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_10_degree_-75_beta_0.3.pcm	 0.571	 1.086	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_10_degree_75_beta_0.3.pcm	 0.322	 1.059	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_10_degree_-90_beta_0.2.pcm	 0.717	 1.106	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_10_degree_90_beta_0.2.pcm	 0.604	 1.090	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_10_degree_-90_beta_0.3.pcm	 0.539	 1.082	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_10_degree_90_beta_0.3.pcm	 0.485	 1.076	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_1_degree_0_beta_0.2.pcm	 0.407	 1.067	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_1_degree_0_beta_0.3.pcm	 0.289	 1.056	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_1_degree_0_beta_0.4.pcm	 0.292	 1.057	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_1_degree_-15_beta_0.2.pcm	 0.549	 1.083	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_1_degree_15_beta_0.2.pcm	 0.627	 1.093	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_1_degree_-15_beta_0.3.pcm	 0.474	 1.074	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_1_degree_15_beta_0.3.pcm	 0.327	 1.060	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_1_degree_-15_beta_0.4.pcm	 0.514	 1.079	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_1_degree_15_beta_0.4.pcm	 0.447	 1.071	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_1_degree_-30_beta_0.2.pcm	 0.641	 1.095	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_1_degree_30_beta_0.2.pcm	 0.546	 1.083	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_1_degree_-30_beta_0.3.pcm	 0.478	 1.075	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_1_degree_30_beta_0.3.pcm	 0.307	 1.058	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_1_degree_-30_beta_0.4.pcm	 0.501	 1.077	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_1_degree_30_beta_0.4.pcm	 0.466	 1.073	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_1_degree_-45_beta_0.2.pcm	 0.672	 1.100	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_1_degree_45_beta_0.2.pcm	 0.608	 1.091	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_1_degree_-45_beta_0.3.pcm	 0.637	 1.095	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_1_degree_45_beta_0.3.pcm	 0.428	 1.069	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_1_degree_-45_beta_0.4.pcm	 0.669	 1.099	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_1_degree_45_beta_0.4.pcm	 0.525	 1.080	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_1_degree_-60_beta_0.2.pcm	 0.326	 1.060	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_1_degree_60_beta_0.2.pcm	 0.091	 1.042	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_1_degree_-60_beta_0.3.pcm	 0.520	 1.080	 16000	nb
clean.pcm	 ../gdata_ori_out/Room_2_10_4_dist_1_degree_60_beta_0.3.pcm	 0.176	 1.048	 16000	nb
